dt,gmv,qty,discount_amt,pay_uv,order_cnt,month,dom,dow,is_weekend,is_month_end,activity_name,is_activity,view_uv,buy_uv,cvr,uvalue
2025-09-01,34549.92,3258,7476.48,537,550,9,1,0,0,0,8月活动,1,55049971,1283058,0.023307151242640982,0.02692779281996605
2025-09-02,32091.87,2892,6841.9800000000005,486,499,9,2,1,0,0,8月活动,1,51742642,1180783,0.022820307474828983,0.027178465475874904
2025-09-03,32613.420000000002,3014,5811.75,499,516,9,3,2,0,0,8月活动,1,52226884,1213124,0.02322796052699602,0.026883830507021544
2025-09-04,28674.105,2759,5449.02,456,478,9,4,3,0,0,非活动日,0,54393645,1170359,0.021516465756247813,0.0245002644487717
2025-09-05,36138.93,3347,6457.545,560,585,9,5,4,0,0,非活动日,0,66136341,1435356,0.02170298474782571,0.02517767717555784
2025-09-06,36420.705,3340,6524.97,622,630,9,6,5,1,0,非活动日,0,80233019,1641766,0.020462473187005465,0.022183858722863065
2025-09-07,29952.075,2773,5215.185,500,511,9,7,6,1,0,非活动日,0,54177078,1161890,0.021446154774164825,0.025778752721858353
2025-09-08,27598.2,2506,5219.7,491,498,9,8,0,0,0,非活动日,0,55664376,1188432,0.021349956388624566,0.023222363584959004
2025-09-09,29079.03,2644,5396.925,490,505,9,9,1,0,0,非活动日,0,53820966,1216904,0.022610222194822737,0.023895911263337122
2025-09-10,29184.3,2585,5244.48,487,499,9,10,2,0,0,非活动日,0,51517580,1195220,0.023200235725358218,0.024417513093823732
2025-09-11,29707.365,2765,5255.91,497,511,9,11,3,0,0,非活动日,0,55225839,1237185,0.02240228527809238,0.024012063676814705
2025-09-12,37425.795,3380,6775.815,581,600,9,12,4,0,0,非活动日,0,62269143,1459764,0.023442815007105527,0.025638250429521482
2025-09-13,46870.725,3954,8816.505,670,692,9,13,5,1,0,非活动日,0,88725136,1836002,0.020693143823414372,0.025528689511231467
2025-09-14,32490.795000000002,2952,6103.41,536,548,9,14,6,1,0,非活动日,0,57667126,1254015,0.021745751643666097,0.02590941495915121
2025-09-15,29111.235,2706,5447.955,503,518,9,15,0,0,0,非活动日,0,59984191,1244349,0.020744615860535654,0.023394750990276846
2025-09-16,32299.395,2848,6540.555,527,543,9,16,1,0,0,非活动日,0,57302828,1260421,0.021995790504440723,0.025625878178798987
2025-09-17,30317.52,2673,6016.6050000000005,519,534,9,17,2,0,0,非活动日,0,51421894,1221183,0.023748308453982656,0.02482635280707314
2025-09-18,31922.805,3091,6286.26,514,534,9,18,3,0,0,非活动日,0,53668051,1302208,0.024264119447900204,0.024514367136432888
2025-09-19,41730.81,3722,8292.795,635,653,9,19,4,0,0,非活动日,0,76817737,1725013,0.02245592056428322,0.02419159159959954
2025-09-20,41671.515,3674,8506.68,665,685,9,20,5,1,0,非活动日,0,96134118,2012873,0.02093817514402119,0.020702505821281324
2025-09-21,39266.205,3609,8261.25,631,644,9,21,6,1,0,非活动日,0,75232325,1734888,0.02306040654731859,0.022633279497004995
2025-09-22,35786.055,3419,6558.15,567,581,9,22,0,0,0,非活动日,0,68563873,1490219,0.02173475526973221,0.024013957009003373
2025-09-23,34978.605,3169,7079.52,560,578,9,23,1,0,0,非活动日,0,65207598,1402350,0.02150592941638488,0.024942849502620604
2025-09-24,30338.67,2764,5990.64,490,502,9,24,2,0,0,非活动日,0,51387237,1238660,0.024104428887663294,0.02449313774562834
2025-09-25,30449.175,2861,6544.6050000000005,508,524,9,25,3,0,1,9月活动,1,49564530,1263794,0.025497951861946436,0.02409346380818393
2025-09-26,38263.38,3302,7764.09,599,625,9,26,4,0,1,9月活动,1,59181797,1450231,0.02450468004545384,0.026384334633585957
2025-09-27,44042.325,3658,9277.605,650,672,9,27,5,1,1,9月活动,1,70496411,1712970,0.024298683801080315,0.025711089511199846
2025-09-28,36131.91,3089,8075.34,563,585,9,28,6,1,1,9月活动,1,60399228,1523474,0.0252234018620238,0.023716788077774876
2025-09-29,39126.15,3405,8250.975,599,614,9,29,0,0,1,9月活动,1,58262250,1524461,0.02616550167561328,0.025665563107222816
2025-09-30,38368.605,3237,8507.76,564,583,9,30,1,0,1,9月活动,1,54984734,1406055,0.02557173414715437,0.027288125286706426
2025-10-01,40104.705,3207,6520.53,567,583,10,1,2,0,0,9月活动,1,57805661,1442517,0.02495459743985974,0.027801894189115276
2025-10-02,33076.8,2765,5460.375,480,494,10,2,3,0,0,9月活动,1,51669344,1314607,0.025442688027933934,0.025160979669209126
2025-10-03,41378.955,3506,6875.565,592,614,10,3,4,0,0,9月活动,1,66945830,1599981,0.02389963646727511,0.02586215398807861
2025-10-04,48447.255,3666,7652.79,678,695,10,4,5,1,0,9月活动,1,79544041,1861874,0.023406831946091347,0.02602069474089009
2025-10-05,34111.515,2623,4892.52,515,528,10,5,6,1,0,9月活动,1,50730896,1231512,0.0242753843732624,0.02769888965759164
